date,total_pnl,total_volume,price_risk,sentiment_score,sentiment_norm,cluster,sentiment_next
2023-05-01,0.0,477.0,0.4041451884326002,63,0.6309523809523809,0,0.7738095238095238
2023-12-05,0.0,50005.83,17477.946554443974,75,0.7738095238095238,2,0.7380952380952381
2023-12-14,-205.43473700000007,113203.35,17176.671270509865,72,0.7380952380952381,2,0.7142857142857143
2023-12-15,-24.632033999999997,10609.95,0.0,70,0.7142857142857143,0,0.6785714285714286
2023-12-16,0.0,15348.77,2.886751345951817e-05,67,0.6785714285714286,0,0.75
2023-12-17,304.982785,116278.02,1116.3958768386804,73,0.75,0,0.6547619047619048
2023-12-18,0.0,31164.179999999997,0.4242640687117034,65,0.6547619047619048,0,0.75
2023-12-19,1000.5386120000001,91602.41,926.2740121248555,73,0.75,0,0.7619047619047619
2023-12-20,162.732282,141636.79,5.856400352106735,74,0.7619047619047619,0,0.7142857142857143
2023-12-21,537.211402,125233.97,0.8725921388691923,70,0.7142857142857143,0,0.7619047619047619
2023-12-22,141.832675,88874.28,21171.893320848874,74,0.7619047619047619,2,0.7142857142857143
2023-12-23,146.936704,78438.25,5.169583196413767,70,0.7142857142857143,0,0.7261904761904762
2023-12-24,1008.619956,402954.94,20284.500535369272,71,0.7261904761904762,2,0.75
2023-12-25,-245.081348,59948.51,10.653168542738976,73,0.75,0,0.75
2023-12-27,-704.8892269999999,171411.06,0.06441842658841482,73,0.75,0,0.75
2023-12-28,-970.730876,100117.25,0.06388070635077168,73,0.75,0,0.6547619047619048
2023-12-29,508.92214299999995,569559.72,11648.744735988827,65,0.6547619047619048,0,0.6904761904761905
2023-12-30,354.998648,702550.21,18438.660298843733,68,0.6904761904761905,2,0.6547619047619048
2024-01-01,-129.53146,264239.52999999997,17773.70614824905,65,0.6547619047619048,2,0.7261904761904762
2024-01-02,783.979116,121348.74,18953.92703976332,71,0.7261904761904762,2,0.7142857142857143
2024-01-03,866.015507,394499.36,1048.4157183426262,70,0.7142857142857143,0,0.6904761904761905
2024-01-04,-67.60364,99792.54000000001,1.625423021862385,68,0.6904761904761905,0,0.7380952380952381
2024-01-05,164.141565,1703942.66,19454.241857154553,72,0.7380952380952381,2,0.7142857142857143
2024-01-06,135.58166400000002,298521.4,15151.388468026682,70,0.7142857142857143,2,0.7261904761904762
2024-01-07,-835.681235,1048850.06,15751.431533109208,71,0.7261904761904762,2,0.7261904761904762
2024-01-08,-269.874439,1522452.43,20290.967629114057,71,0.7261904761904762,2,0.7857142857142857
2024-01-09,-826.349863,870051.97,20885.372418201398,76,0.7857142857142857,2,0.75
2024-01-10,-1517.091342,2057479.48,19322.706929713844,73,0.75,2,0.7857142857142857
2024-01-11,-164.08950099999998,305314.1,19629.102693301003,76,0.7857142857142857,2,0.7261904761904762
2024-01-12,-1925.519024,200082.27,17550.311600910325,71,0.7261904761904762,2,0.5
2024-01-15,152.85358,50636.1,19814.335564661535,52,0.5,2,0.6428571428571429
2024-01-16,-2299.171458,116427.33,22637.910323166485,64,0.6428571428571429,2,0.5952380952380952
2024-01-17,813.2741110000001,800831.03,21383.464156033846,60,0.5952380952380952,2,0.6309523809523809
2024-01-18,68.93319,424631.52999999997,20233.316546710317,63,0.6309523809523809,2,0.4880952380952381
2024-01-19,-385.419235,428428.97,18166.842917918395,51,0.4880952380952381,2,0.5
2024-01-20,-146.57487000000003,1070090.51,19093.656628018955,52,0.5,2,0.5476190476190477
2024-01-21,266.58114600000005,103129.74,21528.165725689374,56,0.5476190476190477,2,0.5357142857142857
2024-01-22,1375.640959,337878.99,14406.919993731388,55,0.5357142857142857,0,0.47619047619047616
2024-01-23,-369.2447299999998,414518.93000000005,17931.69660879304,50,0.47619047619047616,2,0.4523809523809524
2024-01-24,-2808.353815,965084.59,18769.695095348565,48,0.4523809523809524,2,0.5
2024-01-25,-3093.6293849999997,66566.13,0.007222649560014814,52,0.5,0,0.4642857142857143
2024-01-26,90.2,11773.21,0.10182152735644856,49,0.4642857142857143,0,0.5238095238095238
2024-01-28,-2478.06972,18109.03,0.0,54,0.5238095238095238,0,0.5357142857142857
2024-01-29,486.562542,414208.18,19536.971778150943,55,0.5357142857142857,2,0.6071428571428571
2024-01-30,-173.65419100000003,401011.38,20153.91087002757,61,0.6071428571428571,2,0.5952380952380952
2024-01-31,-799.840817,6305647.13,19876.3146514713,60,0.5952380952380952,2,0.6309523809523809
2024-02-01,0.0,2008.18,0.0876728802091426,63,0.6309523809523809,0,0.6309523809523809
2024-02-02,456.423473,474278.43,19639.423920350528,63,0.6309523809523809,2,0.5952380952380952
2024-02-03,223.30918699999998,603820.0,19282.53294251475,60,0.5952380952380952,2,0.5952380952380952
2024-02-04,47.62389499999999,203187.53,18462.1662366605,60,0.5952380952380952,2,0.5952380952380952
2024-02-05,-33.45419400000003,770198.26,19622.221756634914,60,0.5952380952380952,2,0.6428571428571429
2024-02-06,-215.615907,8047153.41,20245.162112718543,64,0.6428571428571429,2,0.6190476190476191
2024-02-07,241.24212,6758.73,2.899661550742973,62,0.6190476190476191,0,0.6666666666666666
2024-02-08,770.756024,26051.12,9.311771566092043,66,0.6666666666666666,0,0.7261904761904762
2024-02-11,983.443176,212311.82,22727.73364910264,71,0.7261904761904762,2,0.7142857142857143
2024-02-12,913.8817869999998,227247.69999999998,24805.345609028725,70,0.7142857142857143,2,0.8214285714285714
2024-02-13,559.44389,1999.99,0.0018752289237539829,79,0.8214285714285714,0,0.7619047619047619
2024-02-14,3830.599833,320839.88,15472.553170488463,74,0.7619047619047619,2,0.7380952380952381
2024-02-15,1840.797677,185188.04,11158.071210375158,72,0.7380952380952381,0,0.7380952380952381
